"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.257406,0.11785,0.124851296296
0.1,0.263147,0.1229225,0.159983425926
0.15,0.269334,0.131314,0.209914166667
0.2,0.276018,0.144171666667,0.254258549383
0.25,0.283713,0.158855,0.262480524691
0.3,0.292077,0.17084,0.257242530864
0.35,0.300714,0.183893888889,0.259660802469
0.4,0.310415,0.197632777778,0.249136111111
0.45,0.320646,0.208617222222,0.243039197531
0.5,0.331186,0.221139444444,0.249924382716
0.55,0.342737,0.233891666667,0.252812345679
0.6,0.35458,0.246757222222,0.250536111111
0.65,0.367451,0.258914444444,0.248299074074
0.7,0.380459,0.271243333333,0.253203395062
0.75,0.394564,0.284065555556,0.260391049383
0.8,0.40884,0.297181111111,0.267608950617
0.85,0.424178,0.312026111111,0.254242592593
0.9,0.440288,0.322686111111,0.238885493827
0.95,0.456364,0.334637222222,0.244561728395
1,0.473674,0.34762,0.24425308642
1.05,0.491223,0.359242777778,0.242702469136
1.1,0.509578,0.371337222222,0.248308641975
1.15,0.528293,0.384278333333,0.249067592593
1.2,0.548002,0.397172222222,0.235189814815
1.25,0.568157,0.407616111111,0.225697839506
1.3,0.588757,0.418306666667,0.240002160494
1.35,0.60982,0.431636111111,0.254237962963
1.4,0.631911,0.44531,0.242487654321
1.45,0.654551,0.455688888889,0.232218209877
1.5,0.677379,0.467552222222,0.237543209877
1.55,0.70127,0.479882222222,0.237370987654
1.6,0.725435,0.491381111111,0.23535
1.65,0.750371,0.503260555556,0.235112345679
1.7,0.775735,0.515402777778,0.229992283951
1.75,0.80206,0.525362222222,0.244388888889
1.8,0.828178,0.538119444444,0.277758024691
1.85,0.855565,0.554738333333,0.266388271605
1.9,0.883518,0.572397777778,0.108217283951
1.95,0.914092,0.567855,-0.14785
2,0.940108,0.558918333333,-0.511352160494
2.05,0.969843,0.539706666667,-1.30635308642
2.1,0.998173,0.438399444444,-2.24638364198
2.15,1.015894,0.289634444444,-2.65830679012
2.2,1.026999,0.140293888889,-2.37094444444
2.25,1.028079,0.0308877777778,-1.58242530864
2.3,1.027308,-0.0166272222222,-0.781242283951
2.35,1.025302,-0.0341933333333,-0.248822222222
2.4,1.022766,-0.0261927777778,-0.042062345679
2.45,1.023657,-0.0314116666667,-0.00634753086419
2.5,1.019595,-0.0345977777778,0.125111111111
2.55,1.018876,-0.0159477777778,0.190724691358
2.6,1.018584,-0.00714444444444,0.114688271605
2.65,1.018601,-0.00531333333333,0.0501669753086
2.7,1.018327,-0.00826333333333,0.0815382716049
2.75,1.017076,0.000313888888889,0.141756481481
2.8,1.017744,0.0169877777778,0.00851759259259
2.85,1.020247,0.00777944444444,-0.230848765432
2.9,1.019458,-0.0185211111111,-0.248883641975
2.95,1.017247,-0.0263983333333,-0.0792564814815
3,1.016391,-0.0240744444444,0.0759910493827
3.05,1.014797,-0.01689,0.176959259259
3.1,1.01418,-0.00168555555556,0.15664382716
3.15,1.014797,0.00848166666667,-0.0493592592593
3.2,1.016305,-0.00613444444444,-0.255534876543
3.25,1.014471,-0.0266044444444,-0.26952654321
3.3,1.013511,-0.0437377777778,-0.0739015432099
3.35,1.008696,-0.0349211111111,0.15422037037
3.4,1.009741,-0.018195,0.205715123457
3.45,1.007736,-0.0135094444444,0.206325925926
3.5,1.007582,0.00229222222222,0.178494753086
3.55,1.008147,0.0128877777778,0.00972283950618
3.6,1.010272,-0.000162777777778,-0.0965808641975
3.65,1.00753,-0.00530222222222,-0.0467598765432
3.7,1.009347,-0.00322055555555,0.00103858024691
3.75,1.007701,-0.00710666666667,0.0856067901235
3.8,1.007701,0.00562777777778,0.151326851852
3.85,1.008524,0.0136255555556,0.111365432099
3.9,1.009312,0.0175111111111,0.0479790123457
3.95,1.010358,0.0183011111111,-0.0179336419753
4,1.011403,0.0140638888889,-0.050725
4.05,1.011609,0.0118672222222,-0.0557314814815
4.1,1.012569,0.00964722222222,-0.0730172839506
4.15,1.012809,0.00381722222222,-0.0727200617284
4.2,1.012826,0.000396111111112,-0.0390475308642
4.25,1.012654,0.000323333333334,-0.0126913580247
4.3,1.012826,0.00105944444444,-0.0192191358025
4.35,1.012946,-0.00121,-0.0332074074074
4.4,1.01274,-0.00408555555556,-0.014150308642
4.45,1.012346,-0.00353222222222,0.0270882716049
4.5,1.012346,-0.00150555555556,0.0772444444444
4.55,1.01214,0.00344777777778,0.127969753086
4.6,1.012432,0.012625,0.124155246914
4.65,1.013014,0.0248783333333,-0.0442950617284
4.7,1.016168,0.0138533333333,-0.286924074074
4.75,1.015739,-0.0190044444444,-0.252645555556
4.8,1.012706,-0.024935,0.0144326234568
4.85,1.011729,-0.00539055555556,0.0735512654321
4.9,1.013237,-0.00223533333333,-0.140499722222
4.95,1.013014,-0.0234019444444,-0.317428425926
5,1.009861,-0.0448588888889,-0.400501666667
