groupA,groupB,groupC,groupD,
9.346,9.451,10.227,10.220,
9.043,9.736,10.088,9.356,
9.537,9.841,10.020,9.850,
9.377,9.987,10.932,9.528,
9.334,9.732,10.714,9.952,
9.429,10.194,10.377,9.500,
9.365,9.680,9.986,10.045,
9.065,9.882,10.084,10.170,
9.259,9.966,10.256,10.656,
9.264,9.821,10.498,9.703,
9.167,10.020,9.967,8.731,
9.721,9.881,9.718,9.380,
9.081,9.604,9.938,10.477,
9.179,9.349,10.383,9.264,
9.122,10.265,10.398,10.281,
9.006,9.649,10.413,9.862,
9.252,9.826,10.267,10.518,
9.232,9.941,10.346,8.820,
9.683,9.828,10.181,9.701,
9.238,9.574,10.516,9.196,
